Emmalee,Childe,60,201.6
Bennie,Wernham,53,206.7
Zitella,Brosius,37,172.1
Avictor,Place,31,182.0
Anneliese,Hoppner,54,171.0
Caroljean,Brangan,34,155.9
Ric,Tedridge,48,203.6
Erick,Corradeschi,41,170.6
Sibbie,Riggoll,52,161.9
Kele,De Bischof,30,169.6
Vidovic,Domsalla,45,181.8
Gallard,Lownsbrough,51,182.5
Beatriz,Cruwys,60,185.7
Heida,Finden,42,153.2
Kristin,Dibden,33,173.9
Andromache,Kitteman,40,179.3
Clerc,Hulk,36,192.8
Arie,Millis,50,150.7
Kiley,Scoggins,38,154.0
Goldi,Stoaks,29,170.2
Urson,McLarens,55,164.8
Clerc,Ridding,36,170.5
Tessi,Sacaze,27,154.2
Guilbert,Ingles,29,184.6
Avrom,Arnao,31,155.8
Letty,Kelway,44,166.9
Anette,Ughi,53,193.6
Moses,Kopf,31,189.8
Alexandrina,Coggings,38,192.8
Cherish,McGooch,42,208.2
Reider,Bettam,43,174.9
Nerta,Delap,46,178.8
Carr,Rimer,53,159.7
Nancey,Barlthrop,50,188.5
Naomi,Jarrelt,60,170.2
Dominik,Gladwell,45,207.5
Lotty,Felce,44,186.8
Philly,Boat,36,191.9
Itch,Carless,55,161.6
Emelina,Coolahan,28,181.4
Chrissie,Icke,53,154.2
Yvonne,Valentine,43,166.3
Ruby,Barnwell,60,200.1
Toddie,Woolfall,41,197.8
Teodoro,Rault,50,198.5
Annadiana,Bassindale,33,155.0
Cad,Chadband,51,166.9
Jacki,Burland,49,191.1
Merla,Brugmann,55,154.9
Skipp,Egiloff,50,162.4
Marnie,Everest,32,203.7
Maggy,Curnucke,36,194.5
Cozmo,Penella,26,192.1
Annamarie,Mellows,31,176.5
Karla,Toffaloni,36,175.1
Nataline,Fitkin,37,155.4
Shani,Bridgwater,50,172.5
Liva,ducarme,58,176.0
Mirabelle,Newband,46,191.1
Kenton,Weld,48,166.3
Marinna,Benedtti,42,182.4
Gonzalo,Glusby,36,174.3
Jesus,Peachment,37,201.0
Orel,Peracco,57,166.8
Arlin,O'Doogan,41,164.4
Jamil,Dumper,42,154.9
Fonz,Currington,57,183.6
Roby,Daveran,39,158.0
Shelagh,Booeln,57,153.8
Irene,Herculson,28,156.7
Laurene,Bourchier,36,162.9
Gorden,Hagwood,48,153.3
Crystie,Blacklidge,27,158.3
Gil,Masterman,29,181.9
Jarib,Woodwing,26,198.6
Glyn,Sumsion,31,191.3
Cinderella,Lehrer,27,188.3
Agnes,Neem,44,194.1
Cynthea,Batram,57,196.2
Claretta,McCahey,50,201.4
Camel,Farreil,43,172.6
Farrel,Gai,38,175.3
Jaye,MacCourt,55,206.0
Pembroke,Lorentz,32,186.5
Felicle,Banton,28,192.3
Mabel,Colafate,26,205.5
Patten,Ortler,52,198.9
Kyrstin,Mence,40,171.5
Rosalynd,Kliesl,31,160.4
Marcie,Conville,31,204.5
Vernor,Teece,40,171.4
Ingrim,Cheesley,44,196.8
Lauren,Choupin,48,157.9
Janey,Witty,30,188.0
Nate,Lewzey,41,157.7
Rowena,Conre,33,186.3
Leta,Tzar,42,184.3
Menard,Moncreiffe,60,163.3
Joanie,Ladell,43,158.9
Jo-ann,Bascombe,33,173.9
